Date,Open,High,Low,Close,Volume,OpenInt
20050225,26.138,26.224,26.138,26.224,554,0
20050228,26.566,26.566,26.566,26.566,230,0
20050301,26.566,26.566,26.566,26.566,399,0
20050302,26.224,26.224,26.224,26.224,230,0
20050303,26.224,26.266,26.224,26.224,3484,0
20050304,26.566,26.566,26.395,26.395,552,0
20050307,26.566,26.566,26.138,26.566,1748,0
20050308,26.566,27.424,26.566,26.995,3081,0
20050309,27.424,27.424,27.424,27.424,1821,0
20050310,27.424,27.424,27.424,27.424,348,0
20050311,26.995,27.424,26.995,27.424,582,0
20050314,27.424,28.28,27.424,27.638,1751,0
20050315,27.638,27.638,27.424,27.424,5369,0
20050317,27.209,27.209,27.209,27.209,230,0
20050321,27.124,27.38,27.124,27.38,230,0
20050322,27.424,27.938,27.424,27.938,1516,0
20050323,27.294,27.294,27.124,27.124,1023,0
20050324,27.08,27.089,27.08,27.08,620,0
20050328,27.424,27.424,27.424,27.424,230,0
20050329,26.995,26.995,26.653,26.653,2043,0
20050331,27.424,27.424,26.653,26.653,786,0
20050401,27.209,27.209,27.209,27.209,115,0
20050404,26.653,26.653,26.566,26.566,816,0
20050405,26.524,26.524,26.524,26.524,348,0
20050406,26.524,26.524,26.524,26.524,115,0
20050407,26.524,26.566,26.524,26.566,2218,0
20050408,26.309,26.566,26.224,26.224,2102,0
20050412,26.224,27.938,26.224,26.352,2449,0
20050414,26.395,26.566,26.138,26.138,1516,0
20050415,26.138,26.138,25.752,25.925,1108,0
20050418,25.366,25.366,25.366,25.366,127,0
20050419,25.71,25.71,25.539,25.539,526,0
20050420,25.366,26.566,25.366,26.566,431,0
20050421,25.71,26.566,25.366,26.566,1123,0
20050422,25.71,25.71,25.496,25.496,3034,0
20050426,26.138,26.138,25.71,25.71,498,0
20050427,25.71,25.71,24.852,25.239,4172,0
20050502,25.393,25.393,25.384,25.384,526,0
20050505,25.281,25.667,25.281,25.366,1460,0
20050506,25.366,25.366,25.281,25.366,6729,0
20050509,25.281,25.281,25.067,25.067,1602,0
20050510,24.981,25.067,24.424,24.424,4724,0
20050511,24.424,24.638,24.424,24.638,1575,0
20050513,24.424,24.424,24.125,24.125,2684,0
20050516,24.125,24.852,24.125,24.852,2218,0
20050517,24.21,24.895,24.21,24.836,3325,0
20050518,24.852,24.852,24.852,24.852,220,0
20050519,24.21,24.21,24.21,24.21,115,0
20050523,24.21,24.21,23.738,24.21,3150,0
20050524,24.21,24.21,23.825,23.995,2156,0
20050525,23.825,23.995,23.825,23.825,1051,0
20050526,23.91,24.646,23.91,24.646,2018,0
20050527,24.836,24.852,24.836,24.852,3409,0
20050531,24.681,24.681,24.681,24.681,348,0
20050601,24.681,24.681,24.681,24.681,348,0
20050602,24.852,24.852,24.681,24.681,1470,0
20050603,24.852,24.852,24.424,24.424,854,0
20050607,24.51,24.51,24.424,24.424,694,0
20050609,24.681,24.681,24.424,24.424,348,0
20050613,24.21,24.21,24.21,24.21,18846,0
20050614,23.995,23.995,23.568,23.568,1721,0
20050615,23.353,23.353,23.353,23.353,348,0
20050616,23.353,23.353,23.139,23.139,933,0
20050617,22.924,22.924,22.924,22.924,180,0
20050620,22.496,22.924,22.496,22.882,2674,0
20050621,22.882,22.882,22.711,22.711,1029,0
20050622,22.882,22.924,22.882,22.924,1169,0
20050623,22.967,23.01,22.838,22.924,2881,0
20050624,22.924,22.924,22.924,22.924,230,0
20050627,22.924,22.924,22.711,22.753,1844,0
20050628,22.753,22.882,22.581,22.711,2008,0
20050629,22.513,22.924,21.51,22.924,14076,0
20050630,22.753,22.924,22.453,22.453,569,0
20050701,22.496,22.924,22.496,22.924,2482,0
20050705,22.711,22.711,22.711,22.711,115,0
20050706,22.924,22.924,22.924,22.924,464,0
20050707,22.924,22.924,22.496,22.496,2160,0
20050708,23.139,23.353,23.139,23.353,3034,0
20050711,23.139,23.139,23.139,23.139,464,0
20050712,23.139,23.139,23.139,23.139,230,0
20050713,23.139,23.782,23.139,23.782,2787,0
20050714,23.782,23.782,23.782,23.782,230,0
20050715,23.224,23.224,23.224,23.224,230,0
20050718,23.782,23.782,23.31,23.31,2918,0
20050719,23.438,23.678,23.438,23.678,2976,0
20050720,23.738,23.738,23.738,23.738,464,0
20050721,23.568,23.568,23.353,23.353,1168,0
20050725,23.568,23.568,23.353,23.568,1038,0
20050726,23.481,23.782,23.481,23.782,1282,0
20050727,23.782,23.782,23.61,23.61,816,0
20050729,23.867,23.995,23.782,23.825,2730,0
20050802,23.867,23.995,23.867,23.867,2018,0
20050804,23.995,24.596,23.995,24.596,7675,0
20050805,24.424,25.281,24.424,25.281,1635,0
20050808,24.51,25.409,24.51,24.51,595,0
20050809,24.638,25.418,24.466,24.81,12543,0
20050810,24.424,24.725,24.424,24.725,1398,0
20050811,24.424,24.424,24.424,24.424,613,0
20050812,24.638,24.638,24.638,24.638,1226,0
20050816,24.466,24.466,24.466,24.466,4548,0
20050817,24.466,24.51,24.466,24.466,4366,0
20050819,24.638,24.638,24.596,24.596,874,0
20050822,24.596,24.596,24.596,24.596,1398,0
20050825,24.638,24.638,24.638,24.638,633,0
20050826,24.596,24.596,24.596,24.596,526,0
20050830,24.596,24.767,24.596,24.767,859,0
20050831,24.638,24.638,24.638,24.638,2153,0
20050901,24.767,25.067,24.767,24.938,5203,0
20050902,24.681,24.681,24.681,24.681,472,0
20050906,24.681,24.725,24.681,24.725,1717,0
20050907,24.767,24.767,24.767,24.767,595,0
20050908,24.852,25.067,24.767,24.852,4067,0
20050909,24.852,24.852,24.767,24.852,12242,0
20050912,24.767,24.852,24.767,24.784,24056,0
20050913,24.767,24.767,24.767,24.767,230,0
20050914,24.767,24.767,24.725,24.725,1045,0
20050915,24.681,24.681,24.681,24.681,3028,0
20050916,24.681,24.725,24.638,24.638,2336,0
20050919,24.725,24.725,24.725,24.725,348,0
20050920,24.638,24.638,24.638,24.638,464,0
20050921,24.424,24.424,23.61,23.61,1516,0
20050928,23.568,23.568,23.182,23.182,1867,0
20050929,23.182,23.182,22.882,22.882,3502,0
20050930,22.581,22.711,22.367,22.367,2858,0
20051003,22.367,22.367,21.424,21.596,7116,0
20051004,21.51,21.51,20.653,20.783,7057,0
20051005,20.996,21.853,20.996,21.853,933,0
20051007,21.638,21.638,21.424,21.424,6184,0
20051010,21.638,21.638,21.638,21.638,180,0
20051011,21.638,21.638,21.424,21.424,1395,0
20051012,20.996,21.082,20.996,20.996,1575,0
20051013,20.783,21.424,20.783,21.21,3208,0
20051014,21.21,21.21,20.783,20.783,7702,0
20051017,21.21,21.21,21.21,21.21,1168,0
20051018,21.167,21.167,21.167,21.167,135,0
20051019,21.167,21.167,21.167,21.167,2684,0
20051021,20.996,20.996,20.61,20.783,6990,0
20051024,21.424,22.282,21.424,22.282,1925,0
20051025,22.109,22.109,21.424,21.424,1925,0
20051027,21.21,21.21,21.21,21.21,968,0
20051031,21.21,21.21,20.996,20.996,348,0
20051101,21.21,21.21,21.21,21.21,1283,0
20051102,20.868,21.21,20.868,20.91,5144,0
20051103,20.996,20.996,20.996,20.996,582,0
20051104,21.082,21.082,20.996,20.996,3268,0
20051107,20.91,20.996,20.568,20.783,3234,0
20051108,20.783,21.21,20.695,20.91,4533,0
20051109,20.996,21.082,20.868,20.868,22112,0
20051110,20.996,20.996,20.825,20.825,933,0
20051111,20.996,20.996,20.91,20.996,10152,0
20051114,20.996,21.424,20.996,20.996,12662,0
20051116,21.082,21.082,21.082,21.082,759,0
20051117,21.167,21.21,20.953,20.996,5263,0
20051118,20.996,20.996,20.953,20.996,3949,0
20051121,21.082,21.082,21.082,21.082,295,0
20051122,21.082,21.424,20.783,21.424,2997,0
20051123,21.424,21.853,21.424,21.853,701,0
20051128,22.282,22.496,22.196,22.496,2477,0
20051130,22.282,22.282,22.282,22.282,614,0
20051206,22.496,22.496,22.196,22.196,1168,0
20051207,22.282,22.453,22.196,22.196,1200,0
20051208,22.453,22.453,22.453,22.453,268,0
20051209,22.282,22.282,22.024,22.024,3268,0
20051212,22.153,22.453,22.067,22.067,933,0
20051213,22.153,22.153,22.067,22.153,8113,0
20051214,22.282,22.282,21.827,21.827,4199,0
20051215,22.282,22.711,22.282,22.711,1085,0
20051219,22.668,22.668,21.982,21.982,2347,0
20051220,21.682,21.682,21.638,21.638,1028,0
20051221,21.853,21.853,21.638,21.638,933,0
20051222,21.638,21.638,21.424,21.424,701,0
20051223,21.638,21.638,21.638,21.638,582,0
20051227,21.424,21.51,20.568,21.51,6665,0
20051228,21.51,21.51,20.825,20.825,1226,0
20051229,20.996,21.21,20.996,21.21,464,0
20051230,21.21,21.21,21.167,21.167,793,0
20060103,21.382,21.382,21.115,21.27,4954,0
20060104,21.424,21.424,21.124,21.124,2188,0
20060105,21.124,21.124,20.568,20.568,3792,0
20060106,20.996,21.21,20.868,21.21,2275,0
20060109,21.21,21.424,20.868,21.21,5143,0
20060111,20.996,20.996,20.868,20.868,701,0
20060112,21.21,21.21,21.21,21.21,2793,0
20060113,20.868,20.868,20.868,20.868,1168,0
20060117,20.868,20.868,20.868,20.868,643,0
20060118,20.859,20.859,20.825,20.825,1051,0
20060119,20.783,20.783,20.783,20.783,180,0
20060120,20.953,20.996,20.783,20.783,6366,0
20060123,20.783,20.996,20.783,20.996,1690,0
20060124,20.996,20.996,20.783,20.783,4199,0
20060125,20.996,20.996,20.695,20.695,2741,0
20060126,20.825,20.825,20.695,20.695,759,0
20060130,20.783,20.996,20.783,20.996,1635,0
20060131,20.996,20.996,20.996,20.996,3297,0
20060201,20.996,21.21,20.996,21.21,1968,0
20060202,20.996,23.01,20.996,23.01,5447,0
20060208,21.638,21.638,21.638,21.638,348,0
20060210,22.496,22.496,22.496,22.496,224,0
20060213,22.067,22.067,21.682,21.982,2604,0
20060214,21.638,21.638,21.082,21.082,1505,0
20060215,21.424,21.424,21.082,21.082,874,0
20060217,21.167,21.167,21.167,21.167,1168,0
20060222,21.167,21.382,21.167,21.382,1430,0
20060223,21.382,21.424,21.382,21.424,464,0
20060224,21.382,21.424,21.296,21.424,701,0
20060227,21.424,21.424,20.783,21.424,2567,0
20060228,21.424,21.424,21.424,21.424,5086,0
20060301,21.468,21.468,21.424,21.424,464,0
