Date,Open,High,Low,Close,Volume,OpenInt
20070716,9.29,9.69,9.15,9.21,1750978,0
20070717,9.35,9.6,9.1,9.51,894110,0
20070718,9.54,9.63,9.46,9.55,516319,0
20070719,9.6,9.6,9.45,9.47,340264,0
20070720,9.5,9.54,9.25,9.32,238169,0
20070723,9.49,9.49,9.33,9.38,151436,0
20070724,9.32,9.32,9.15,9.24,301239,0
20070725,9.2,9.25,9.2,9.2,220887,0
20070726,9.2,9.2,9.05,9.13,318879,0
20070727,9.15,9.15,9.05,9.08,191448,0
20070730,9.08,9.29,9.08,9.28,159660,0
20070731,9.25,9.3,9.15,9.18,110870,0
20070801,9.24,9.25,9.14,9.19,105574,0
20070802,9.2,9.24,9,9.09,157579,0
20070803,9.05,9.12,8.71,8.71,202521,0
20070806,8.7,9.08,8.31,8.82,367763,0
20070807,8.9,8.97,8.75,8.92,65712,0
20070808,8.8,9.22,8.8,9.18,152422,0
20070809,9.1,9.1,8.87,9.05,42649,0
20070810,9,9.05,8.9,9,70239,0
20070813,9.05,9.12,8.76,8.8,152820,0
20070814,8.86,8.91,8.76,8.77,157062,0
20070815,8.76,9,8.75,8.85,77726,0
20070816,8.76,8.85,8.5,8.7,297764,0
20070817,8.99,9.29,8.85,9.27,326539,0
20070820,9.21,9.25,9,9.06,43912,0
20070821,9.1,9.3,9.1,9.28,267572,0
20070822,9.29,9.5,9.29,9.49,166819,0
20070823,9.53,9.53,9.25,9.39,31337,0
20070824,9.32,9.59,9.25,9.48,112442,0
20070827,9.45,9.46,9.1,9.37,91119,0
20070828,9.25,9.4,9.22,9.24,25666,0
20070829,9.21,9.35,9.21,9.3,48307,0
20070830,9.35,9.45,9.25,9.45,160945,0
20070831,9.5,9.6,9.4,9.5,95174,0
20070904,9.52,9.59,9.5,9.54,59267,0
20070905,9.46,9.5,9.35,9.45,53299,0
20070906,9.45,9.46,9.25,9.3,38214,0
20070907,9.26,9.35,9.2,9.35,81044,0
20070910,9.39,9.4,9.3,9.38,96092,0
20070911,9.4,9.42,9.25,9.35,118878,0
20070912,9.4,9.47,9.38,9.42,126802,0
20070913,9.45,9.55,9.4,9.5,139906,0
20070914,9.48,9.55,9.48,9.53,99523,0
20070917,9.55,9.55,9.48,9.53,98708,0
20070918,9.49,9.61,9.45,9.6,118747,0
20070919,9.6,9.62,9.55,9.62,117897,0
20070920,9.6,9.6,9.56,9.59,136005,0
20070921,9.61,9.62,9.55,9.6,116514,0
20070924,9.59,9.6,9.55,9.58,45642,0
20070925,9.58,9.68,9.58,9.65,144459,0
20070926,9.68,9.73,9.6,9.69,97439,0
20070927,9.69,9.71,9.52,9.66,186967,0
20070928,9.65,9.79,9.54,9.75,3072951,0
20071001,9.72,9.74,9.53,9.66,256660,0
20071002,9.75,10.01,9.72,9.9,586318,0
20071003,9.85,9.96,9.8,9.96,197514,0
20071004,9.96,10,9.88,9.93,144087,0
20071005,9.99,10,9.95,10,186193,0
20071008,10,10,9.95,9.99,91744,0
20071009,9.98,9.99,9.9,9.96,101604,0
20071010,9.98,9.98,9.88,9.95,48943,0
20071011,9.95,9.95,9.85,9.91,72034,0
20071012,9.91,9.98,9.75,9.93,109206,0
20071015,9.91,9.91,9.51,9.81,134645,0
20071016,9.8,9.95,9.72,9.86,59536,0
